iter	Passed	Remaining
0	173	173401
1	199	99550
2	213	71008
3	223	55678
4	231	46116
5	240	39838
6	248	35183
7	255	31683
8	263	28978
9	270	26808
10	278	25013
11	286	23557
12	293	22266
13	300	21195
14	308	20235
15	315	19428
16	323	18715
17	330	18045
18	338	17453
19	347	17015
20	354	16539
21	362	16100
22	369	15702
23	377	15347
24	384	14991
25	393	14739
26	400	14440
27	408	14167
28	415	13910
29	423	13699
30	431	13483
31	438	13269
32	446	13090
33	454	12910
34	462	12744
35	469	12580
36	478	12447
37	485	12291
38	493	12157
39	501	12025
40	508	11901
41	516	11773
42	524	11675
43	532	11562
44	540	11471
45	548	11381
46	556	11283
47	564	11199
48	572	11113
49	580	11031
50	589	10962
51	596	10875
52	604	10809
53	612	10726
54	619	10641
55	626	10565
56	633	10487
57	641	10415
58	649	10352
59	656	10284
60	664	10234
61	671	10165
62	679	10104
63	686	10043
64	693	9980
65	701	9924
66	709	9874
67	717	9831
68	724	9776
69	732	9729
70	741	9697
71	748	9653
72	757	9615
73	765	9574
74	772	9526
75	780	9490
76	789	9458
77	796	9415
78	804	9374
79	812	9338
80	820	9307
81	828	9270
82	836	9237
83	844	9208
84	852	9173
85	859	9135
86	867	9099
87	874	9066
88	882	9031
89	889	8994
90	896	8959
91	904	8926
92	912	8899
93	920	8869
94	927	8837
95	935	8809
96	942	8776
97	950	8750
98	958	8719
99	965	8692
100	973	8667
101	981	8638
102	989	8614
103	997	8594
104	1004	8564
105	1012	8540
106	1020	8516
107	1029	8500
108	1036	8473
109	1044	8451
110	1052	8428
111	1060	8409
112	1067	8379
113	1075	8357
114	1082	8334
115	1090	8310
116	1098	8291
117	1105	8264
118	1112	8238
119	1120	8216
120	1128	8198
121	1139	8200
122	1147	8181
123	1154	8158
124	1162	8134
125	1169	8113
126	1177	8091
127	1184	8068
128	1191	8044
129	1199	8027
130	1206	8006
131	1214	7989
132	1222	7968
133	1229	7946
134	1238	7933
135	1245	7914
136	1253	7894
137	1260	7875
138	1267	7853
139	1275	7837
140	1283	7820
141	1291	7801
142	1298	7781
143	1305	7762
144	1313	7743
145	1320	7724
146	1328	7706
147	1335	7689
148	1343	7675
149	1352	7664
150	1360	7647
151	1367	7631
152	1375	7614
153	1383	7598
154	1391	7586
155	1399	7571
156	1407	7555
157	1415	7541
158	1423	7528
159	1430	7512
160	1438	7496
161	1446	7480
162	1454	7471
163	1463	7457
164	1470	7442
165	1479	7431
166	1487	7417
167	1494	7403
168	1502	7387
169	1510	7374
170	1518	7361
171	1526	7348
172	1535	7341
173	1543	7329
174	1551	7313
175	1559	7299
176	1567	7287
177	1575	7275
178	1582	7260
179	1591	7249
180	1598	7233
181	1608	7227
182	1615	7213
183	1625	7207
184	1633	7196
185	1641	7183
186	1649	7172
187	1658	7162
188	1667	7153
189	1676	7147
190	1684	7136
191	1692	7123
192	1700	7109
193	1708	7098
194	1716	7084
195	1724	7073
196	1732	7060
197	1740	7048
198	1747	7033
199	1755	7020
200	1762	7005
201	1770	6996
202	1779	6985
203	1787	6973
204	1795	6962
205	1803	6951
206	1810	6937
207	1819	6926
208	1827	6916
209	1835	6904
210	1843	6892
211	1852	6885
212	1860	6873
213	1869	6865
214	1877	6853
215	1886	6846
216	1894	6837
217	1902	6826
218	1910	6814
219	1918	6802
220	1926	6790
221	1935	6781
222	1943	6772
223	1951	6761
224	1959	6747
225	1966	6735
226	1973	6721
227	1981	6710
228	1989	6699
229	1997	6686
230	2004	6674
231	2012	6662
232	2020	6652
233	2029	6642
234	2037	6631
235	2044	6618
236	2052	6606
237	2060	6597
238	2068	6586
239	2076	6574
240	2083	6562
241	2091	6551
242	2100	6542
243	2107	6531
244	2116	6523
245	2124	6510
246	2132	6499
247	2139	6488
248	2148	6480
249	2156	6470
250	2164	6460
251	2172	6449
252	2180	6439
253	2188	6427
254	2196	6416
255	2204	6407
256	2213	6399
257	2221	6389
258	2230	6380
259	2238	6370
260	2246	6360
261	2254	6351
262	2263	6341
263	2270	6328
264	2278	6319
265	2286	6308
266	2294	6298
267	2302	6288
268	2311	6281
269	2321	6275
270	2329	6267
271	2337	6256
272	2345	6246
273	2353	6235
274	2360	6223
275	2368	6213
276	2377	6206
277	2385	6194
278	2392	6183
279	2400	6172
280	2408	6162
281	2416	6152
282	2424	6143
283	2432	6132
284	2440	6123
285	2450	6117
286	2468	6132
287	2478	6128
288	2487	6119
289	2495	6108
290	2501	6095
291	2508	6081
292	2515	6070
293	2523	6060
294	2531	6050
295	2540	6041
296	2548	6031
297	2555	6019
298	2563	6010
299	2572	6001
300	2580	5992
301	2590	5986
302	2599	5980
303	2609	5973
304	2618	5967
305	2628	5961
306	2636	5951
307	2645	5944
308	2653	5933
309	2663	5929
310	2672	5920
311	2681	5912
312	2689	5903
313	2697	5892
314	2708	5888
315	2716	5879
316	2724	5870
317	2733	5862
318	2742	5854
319	2750	5844
320	2758	5835
321	2766	5824
322	2774	5815
323	2783	5806
324	2791	5797
325	2799	5788
326	2808	5780
327	2816	5771
328	2825	5763
329	2833	5753
330	2843	5746
331	2852	5738
332	2861	5731
333	2870	5723
334	2880	5718
335	2891	5713
336	2899	5703
337	2907	5694
338	2914	5683
339	2923	5674
340	2931	5664
341	2939	5655
342	2948	5646
343	2956	5637
344	2964	5627
345	2972	5618
346	2980	5608
347	2989	5600
348	2996	5589
349	3005	5581
350	3013	5571
351	3021	5563
352	3029	5553
353	3038	5544
354	3045	5533
355	3054	5525
356	3062	5515
357	3070	5506
358	3078	5496
359	3087	5488
360	3095	5478
361	3106	5475
362	3115	5467
363	3122	5456
364	3130	5446
365	3139	5437
366	3146	5427
367	3154	5417
368	3163	5409
369	3170	5398
370	3179	5389
371	3187	5380
372	3195	5371
373	3203	5361
374	3211	5352
375	3218	5342
376	3227	5333
377	3235	5323
378	3243	5314
379	3250	5304
380	3258	5293
381	3268	5287
382	3276	5278
383	3285	5271
384	3294	5262
385	3302	5253
386	3311	5245
387	3320	5237
388	3330	5231
389	3339	5223
390	3349	5216
391	3358	5209
392	3368	5202
393	3378	5196
394	3387	5188
395	3397	5182
396	3412	5182
397	3426	5182
398	3440	5182
399	3452	5178
400	3464	5174
401	3534	5257
402	3551	5261
403	3570	5267
404	3580	5259
405	3591	5255
406	3602	5249
407	3619	5252
408	3628	5242
409	3637	5234
410	3646	5225
411	3655	5216
412	3663	5207
413	3672	5198
414	3681	5189
